finished_at	chat_id	start	count	exit_code
2026-04-19 14:31:57	-73655615503048	0	1000	0
2026-04-19 14:38:35	-73655615503048	1000	1000	0
2026-04-19 14:45:16	-73655615503048	2000	1000	0
2026-04-19 14:47:06	-73655615503048	3000	130	0
2026-04-19 14:53:40	-73656838451423	3130	1000	0
2026-04-19 15:00:18	-73656838451423	4130	1000	0
2026-04-19 15:06:59	-73656838451423	5130	1000	0
2026-04-19 15:08:48	-73656838451423	6130	130	0
