user_id	chat_id	chat_title	wave_no	start	count	marked_at	exit_code	result_file	verified_added	still_missing
41189960	-73531404989116	Бесплатный Взаимопиар	1	0	1000	2026-04-15T13:49:17+03:00	0	data/add_token34_nonlocal_ads_73531404989116_5000_20260415_token2_5k_split_to_73531404989116_1_1000_20260415104339_result.json	921	79
41190781	-73531404989116	Бесплатный Взаимопиар	1	0	1000	2026-04-15T13:49:17+03:00	0	data/add_token34_nonlocal_ads_73531404989116_5000_20260415_token2_5k_split_to_73531404989116_1_1000_20260415104339_result.json	921	79
41191772	-73531404989116	Бесплатный Взаимопиар	1	0	1000	2026-04-15T13:49:17+03:00	0	data/add_token34_nonlocal_ads_73531404989116_5000_20260415_token2_5k_split_to_73531404989116_1_1000_20260415104339_result.json	921	79
41191984	-73531404989116	Бесплатный Взаимопиар	1	0	1000	2026-04-15T13:49:17+03:00	0	data/add_token34_nonlocal_ads_73531404989116_5000_20260415_token2_5k_split_to_73531404989116_1_1000_20260415104339_result.json	921	79
41193218	-73531404989116	Бесплатный Взаимопиар	1	0	1000	2026-04-15T13:49:17+03:00	0	data/add_token34_nonlocal_ads_73531404989116_5000_20260415_token2_5k_split_to_73531404989116_1_1000_20260415104339_result.json	921	79
41195124	-73531404989116	Бесплатный Взаимопиар	1	0	1000	2026-04-15T13:49:17+03:00	0	data/add_token34_nonlocal_ads_73531404989116_5000_20260415_token2_5k_split_to_73531404989116_1_1000_20260415104339_result.json	921	79
41198768	-73531404989116	Бесплатный Взаимопиар	1	0	1000	2026-04-15T13:49:17+03:00	0	data/add_token34_nonlocal_ads_73531404989116_5000_20260415_token2_5k_split_to_73531404989116_1_1000_20260415104339_result.json	921	79
41200195	-73531404989116	Бесплатный Взаимопиар	1	0	1000	2026-04-15T13:49:17+03:00	0	data/add_token34_nonlocal_ads_73531404989116_5000_20260415_token2_5k_split_to_73531404989116_1_1000_20260415104339_result.json	921	79
41201343	-73531404989116	Бесплатный Взаимопиар	1	0	1000	2026-04-15T13:49:17+03:00	0	data/add_token34_nonlocal_ads_73531404989116_5000_20260415_token2_5k_split_to_73531404989116_1_1000_20260415104339_result.json	921	79
41203252	-73531404989116	Бесплатный Взаимопиар	1	0	1000	2026-04-15T13:49:17+03:00	0	data/add_token34_nonlocal_ads_73531404989116_5000_20260415_token2_5k_split_to_73531404989116_1_1000_20260415104339_result.json	921	79
41204642	-73531404989116	Бесплатный Взаимопиар	1	0	1000	2026-04-15T13:49:17+03:00	0	data/add_token34_nonlocal_ads_73531404989116_5000_20260415_token2_5k_split_to_73531404989116_1_1000_20260415104339_result.json	921	79
41209297	-73531404989116	Бесплатный Взаимопиар	1	0	1000	2026-04-15T13:49:17+03:00	0	data/add_token34_nonlocal_ads_73531404989116_5000_20260415_token2_5k_split_to_73531404989116_1_1000_20260415104339_result.json	921	79
41212289	-73531404989116	Бесплатный Взаимопиар	1	0	1000	2026-04-15T13:49:17+03:00	0	data/add_token34_nonlocal_ads_73531404989116_5000_20260415_token2_5k_split_to_73531404989116_1_1000_20260415104339_result.json	921	79
