ts_start	ts_end	start	count	exit_code	processed	already_in_target	attempted	verified_added	still_missing	result_file	missing_file
2026-04-15T17:59:22+03:00	2026-04-15T18:05:05+03:00	0	1000	0	1000	15	985	711	274	data/add_k1504_21k_to_71195382773235_0_1000_20260415_175922_result.json	data/still_missing_k1504_21k_to_71195382773235_0_1000_20260415_175922.txt
2026-04-15T18:06:03+03:00	2026-04-15T18:11:47+03:00	1000	1000	0	1000	1	999	791	208	data/add_k1504_21k_to_71195382773235_1000_2000_20260415_175922_result.json	data/still_missing_k1504_21k_to_71195382773235_1000_2000_20260415_175922.txt
2026-04-15T18:12:46+03:00	2026-04-15T18:18:36+03:00	2000	1000	0	1000	6	994	817	177	data/add_k1504_21k_to_71195382773235_2000_3000_20260415_175922_result.json	data/still_missing_k1504_21k_to_71195382773235_2000_3000_20260415_175922.txt
2026-04-15T18:19:35+03:00	2026-04-15T18:25:24+03:00	3000	1000	0	1000	7	993	738	255	data/add_k1504_21k_to_71195382773235_3000_4000_20260415_175922_result.json	data/still_missing_k1504_21k_to_71195382773235_3000_4000_20260415_175922.txt
2026-04-15T18:26:22+03:00	2026-04-15T18:30:58+03:00	4000	1000	0	1000	239	761	722	39	data/add_k1504_21k_to_71195382773235_4000_5000_20260415_175922_result.json	data/still_missing_k1504_21k_to_71195382773235_4000_5000_20260415_175922.txt
