wave	start	count	attempted	verified_added	still_missing	total_success	result_file	still_missing_file	log
1	300	1000	1000	889	111	889	data/add_members_to_73607469415737_301_1300_20260416202619_result.json	data/still_missing_members_to_73607469415737_301_1300_20260416202619.txt	data/add_trupy_token1_to_73607469415737_300_1299_20260416_232618.log
2	1300	1000	1000	904	96	1793	data/add_members_to_73607469415737_1301_2300_20260416203249_result.json	data/still_missing_members_to_73607469415737_1301_2300_20260416203249.txt	data/add_trupy_token1_to_73607469415737_1300_2299_20260416_233249.log
