chat_id	phase	start	count
-73652908047066	stage1_wave1	7069	1000
-73652908047066	stage1_wave2	8069	789
-73652908047066	stage1_wave1	8858	170
-73653253225178	stage1_wave1	9028	1000
-73653253225178	stage1_wave2	10028	856
-73653253225178	stage1_wave1	10884	184
-73653365816026	stage1_wave1	11068	1000
-73653365816026	stage1_wave2	12068	918
-73653365816026	stage1_wave1	12986	146
-73653365816026	stage1_wave1	13132	37
-73653365816026	stage2_guard0	13169	5
-73653365816026	stage2_guard1	13174	3
